region,model_type,year,month,forecast_revenue
belarus,Random Forest,2025,9,21898193.42
belarus,Random Forest,2025,10,22237199.95
belarus,Random Forest,2025,11,20818443.61
belarus,Random Forest,2025,12,20957089.93
belarus,Random Forest,2026,1,23038328.46
belarus,Random Forest,2026,2,27528070.78
belarus,Random Forest,2026,3,39893154.47
belarus,Random Forest,2026,4,23421855.27
belarus,Random Forest,2026,5,20810192.83
belarus,Random Forest,2026,6,20591406.69
belarus,Random Forest,2026,7,20962802.45
belarus,Random Forest,2026,8,21654334.14
belarus,Random Forest,2026,9,21898193.42
belarus,Random Forest,2026,10,22237199.95
belarus,Random Forest,2026,11,20818443.61
belarus,Random Forest,2026,12,20957089.93
cis,Random Forest,2025,9,18004650.79
cis,Random Forest,2025,10,19007972.21
cis,Random Forest,2025,11,19813301.86
cis,Random Forest,2025,12,20209195.81
cis,Random Forest,2026,1,20898772.35
cis,Random Forest,2026,2,24422778.04
cis,Random Forest,2026,3,39200307.19
cis,Random Forest,2026,4,19672692.97
cis,Random Forest,2026,5,18025007.11
cis,Random Forest,2026,6,17231661.12
cis,Random Forest,2026,7,17463002.81
cis,Random Forest,2026,8,17792769.9
cis,Random Forest,2026,9,18004650.79
cis,Random Forest,2026,10,19007972.21
cis,Random Forest,2026,11,19813301.86
cis,Random Forest,2026,12,20209195.81
mena,Random Forest,2025,9,15073801.78
mena,Random Forest,2025,10,16347112.11
mena,Random Forest,2025,11,17106579.78
mena,Random Forest,2025,12,18629808.09
mena,Random Forest,2026,1,23176697.11
mena,Random Forest,2026,2,29523699.09
mena,Random Forest,2026,3,34570775.47
mena,Random Forest,2026,4,21420948.03
mena,Random Forest,2026,5,18324885.22
mena,Random Forest,2026,6,15626111.1
mena,Random Forest,2026,7,13935811.64
mena,Random Forest,2026,8,13939698.3
mena,Random Forest,2026,9,15073801.78
mena,Random Forest,2026,10,16347112.11
mena,Random Forest,2026,11,17106579.78
mena,Random Forest,2026,12,18629808.09
other,Random Forest,2025,9,17430375.59
other,Random Forest,2025,10,17404136.59
other,Random Forest,2025,11,17488185.43
other,Random Forest,2025,12,19453514.18
other,Random Forest,2026,1,21954496.06
other,Random Forest,2026,2,25326271.91
other,Random Forest,2026,3,33592169.7
other,Random Forest,2026,4,20298515.21
other,Random Forest,2026,5,20651611.79
other,Random Forest,2026,6,18433817.69
other,Random Forest,2026,7,17466203.87
other,Random Forest,2026,8,17238151.74
other,Random Forest,2026,9,17430375.59
other,Random Forest,2026,10,17404136.59
other,Random Forest,2026,11,17488185.43
other,Random Forest,2026,12,19453514.18
russia,Random Forest,2025,9,1640066652.83
russia,Random Forest,2025,10,1690637108.94
russia,Random Forest,2025,11,1735756593.74
russia,Random Forest,2025,12,1693359246.39
russia,Random Forest,2026,1,1681792092.43
russia,Random Forest,2026,2,1983195522.62
russia,Random Forest,2026,3,3272227018.35
russia,Random Forest,2026,4,1744385032.03
russia,Random Forest,2026,5,1583765367.17
russia,Random Forest,2026,6,1599692492.32
russia,Random Forest,2026,7,1608245663.06
russia,Random Forest,2026,8,1611356812.84
russia,Random Forest,2026,9,1640066652.83
russia,Random Forest,2026,10,1690637108.94
russia,Random Forest,2026,11,1735756593.74
russia,Random Forest,2026,12,1693359246.39
spain,Random Forest,2025,9,9258541.78
spain,Random Forest,2025,10,9295249.22
spain,Random Forest,2025,11,9381132.06
spain,Random Forest,2025,12,11638763.93
spain,Random Forest,2026,1,12355502.56
spain,Random Forest,2026,2,12339242.6
spain,Random Forest,2026,3,12169653.14
spain,Random Forest,2026,4,9709732.08
spain,Random Forest,2026,5,11834642.57
spain,Random Forest,2026,6,9233501.96
spain,Random Forest,2026,7,9193277.73
spain,Random Forest,2026,8,9061616.79
spain,Random Forest,2026,9,9258541.78
spain,Random Forest,2026,10,9295249.22
spain,Random Forest,2026,11,9381132.06
spain,Random Forest,2026,12,11638763.93
turkey,Random Forest,2025,9,4717756.18
turkey,Random Forest,2025,10,4707927.13
turkey,Random Forest,2025,11,4659133.85
turkey,Random Forest,2025,12,4802347.8
turkey,Random Forest,2026,1,4803936.81
turkey,Random Forest,2026,2,4754443.09
turkey,Random Forest,2026,3,4782518.84
turkey,Random Forest,2026,4,4385673.21
turkey,Random Forest,2026,5,4643739.26
turkey,Random Forest,2026,6,4733518.95
turkey,Random Forest,2026,7,4538896.55
turkey,Random Forest,2026,8,4688928.2
turkey,Random Forest,2026,9,4717756.18
turkey,Random Forest,2026,10,4707927.13
turkey,Random Forest,2026,11,4659133.85
turkey,Random Forest,2026,12,4802347.8
uk,Random Forest,2025,9,3154489.12
uk,Random Forest,2025,10,3173144.66
uk,Random Forest,2025,11,3216697.84
uk,Random Forest,2025,12,3245988.82
uk,Random Forest,2026,1,3352159.47
uk,Random Forest,2026,2,3646389.51
uk,Random Forest,2026,3,5592844.07
uk,Random Forest,2026,4,3159353.67
uk,Random Forest,2026,5,3183859.39
uk,Random Forest,2026,6,3455040.23
uk,Random Forest,2026,7,3296657.32
uk,Random Forest,2026,8,3098965.29
uk,Random Forest,2026,9,3154489.12
uk,Random Forest,2026,10,3173144.66
uk,Random Forest,2026,11,3216697.84
uk,Random Forest,2026,12,3245988.82
